Argument,Label
"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C. (after the London attacks; the travel curbs violate the U.S. Constitutions ban on favoring one religion over another)",Argument from Practical Reasoning
The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - & seek much tougher version!,Argument from Practical Reasoning
"In any event we are EXTREME VETTING people coming into the U.S. in order to help keep our country safe. The courts are slow and political! (There are constitutional issues with the vetting and the ban, not political ones)",Argument from Practical Reasoning
"Today, I announced an Air Traffic Control Initiative to take American air travel into the future - finally! Rightwards arrow http://45.wh.gov/pmRJsy (privatization of air traffic would cut funding for modernization)",Argument from Practical Reasoning
"That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!",Argument from Practical Reasoning
"It is time to rebuild OUR country, to bring back OUR jobs, to restore OUR dreams, & yes, to put #AmericaFirst! TY Ohio! #InfrastructureWeek",Argument from Practical Reasoning
"Time to start building in our country, with American workers & with American iron, aluminum & steel. It is time to put #AmericaFirst",Argument from Practical Reasoning
"Democrats would do much better as a party if they got together with Republicans on Healthcare,Tax Cuts,Security. Obstruction doesn't work! (Dems have been cooperating with Trump on many points)",Argument from Practical Reasoning
"Mexico was just ranked the second deadliest country in the world, after only Syria. Drug trade is largely the cause. We will BUILD THE WALL! (Mexico is not the 2nd deadliest country)",Argument from Practical Reasoning
"Republican Senators are working very hard to get there, with no help from the Democrats. Not easy! Perhaps just let OCare crash & burn!",Argument from Practical Reasoning
"If Republican Senators are unable to pass what they are working on now, they should immediately REPEAL, and then REPLACE at a later date!",Argument from Practical Reasoning
Crime and killings in Chicago have reached such epidemic proportions that I am sending in Federal help. 1714 shootings in Chicago this year!,Argument from Practical Reasoning
Sanctions were not discussed at my meeting with President Putin. Nothing will be done until the Ukrainian & Syrian problems are solved!,Argument from Practical Reasoning
Republicans should just REPEAL failing ObamaCare now & work on a new Healthcare Plan that will start from a clean slate. Dems will join in!,Argument from Practical Reasoning
"As I have always said, let ObamaCare fail and then come together and do a great healthcare plan. Stay tuned!",Argument from Practical Reasoning
"With only a very small majority, the Republicans in the House & Senate need more victories next year since Dems totally obstruct, no votes!",Argument from Practical Reasoning
Republicans should just REPEAL failing ObamaCare now & work on a new Healthcare Plan that will start from a clean slate. Dems will join in!,Argument from Practical Reasoning
"As I have always said, let ObamaCare fail and then come together and do a great healthcare plan. Stay tuned!",Argument from Practical Reasoning
"With only a very small majority, the Republicans in the House & Senate need more victories next year since Dems totally obstruct, no votes!",Argument from Practical Reasoning
"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AMERICA GREAT AGAIN!",Argument from Commitment
We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,Argument from Commitment
"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN Flag of United States",Argument from Commitment
I promise that our administration will ALWAYS have your back. We will ALWAYS be with you!,Argument from Commitment
"The American dream is back. Were going to create an environment for small business like we havent had in many, many decades!",Argument from Commitment
"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers & others are being removed! (he authorized raids against thousand of illegal immigrants in general)",Argument from Commitment
Great to talk jobs with #NABTU2017. Tremendous spirit & optimism - we will deliver!,Argument from Commitment
I am deeply committed to preserving our strong relationship & to strengthening America's long-standing support for Jordan. @KingAbdullahII.,Argument from Commitment
Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!,Argument from Commitment
"Today on Earth Day, we celebrate our beautiful forests, lakes and land. We stand committed to preserving the natural beauty of our nation.",Argument from Commitment
Republican Senators will not let the American people down! ObamaCare premiums and deductibles are way up - it was a lie and it is dead!,Argument from Commitment
"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!",Argument from Commitment
Back from Miami where my Cuban/American friends are very happy with what I signed today. Another campaign promise that I did not forget!,Argument from Commitment
"As promised, our campaign against the MS-13 gang continues. ""@ICEgov Busts 39 MS-13 Members in New York Operation"" http://45.wh.gov/KcQ99a",Argument from Commitment
"Today, it was a tremendous honor for me to sign the #VAaccountability Act into law, delivering my campaign promise to our #AmericanHeroes! (Obama started this act)",Argument from Commitment
I cannot imagine that these very fine Republican Senators would allow the American people to suffer a broken ObamaCare any longer!,Argument from Commitment
"I just finished a great meeting with the Republican Senators concerning HealthCare. They really want to get it right, unlike OCare!",Argument from Commitment
"From my first day in office, weve taken swift action to lift the crushing restrictions on American energy. Remarks: http://45.wh.gov/3gNz79",Argument from Commitment
"When it comes to the future of Americas energy needs, we will FIND IT, we will DREAM IT, and we will BUILD IT. #EnergyWeek",Argument from Commitment
"We will always take care of our GREAT VETERANS. You have shed your blood, poured your love, and bared your soul, in defense of our country.",Argument from Commitment
America is proud to stand shoulder-to-shoulder with Poland in the fight to eradicate the evils of terrorism and extremism. #POTUSinPoland,Argument from Commitment
"For years, even as a ""civilian,"" I listened as Republicans pushed the Repeal and Replace of ObamaCare. Now they finally have their chance!",Argument from Commitment
I cannot imagine that Congress would dare to leave Washington without a beautiful new HealthCare bill fully approved and ready to go!,Argument from Commitment
"After all of these years of suffering thru ObamaCare, Republican Senators must come through as they have promised!",Argument from Commitment
I will be having lunch at the White House today with Republican Senators concerning healthcare. They MUST keep their promise to America!,Argument from Commitment
I will be having lunch at the White House today with Republican Senators concerning healthcare. They MUST keep their promise to America!,Argument from Commitment
"They are doing everything they can to BOYCOTT #RedLand (Rosso Istria), the film that tells the tragedy of the #FOIBE, the massacre of thousands of our fellow citizens by the Yugoslav communists during the Second World War.",Argument from Values
" For the greedy, the false volunteers and the fake good people of the welcome, the MANGER is over!!!",Argument from Values
"#Salvini: Juncker or no Juncker, we move forward and we dismantle the Fornero law because this is good for Italy!",Argument from Values
Today there is a government that returns to defend the sacrifices of the many boys who lost their lives in 1918 in the Great War.,Argument from Values
We finished making the DOORMATS.,Argument from Values
"in my interview this morning on Canale 5, Saturday in Rome at 11 we will be a SEA of good people, against everything and everyone, to say: #italiansfirst",Argument from Values
" In the South, politics has taken millions of citizens for a ride, held hostage. In the #Lega, many Italians see concreteness, especially on the labor front, the defense of fishing, agriculture, Made in Italy, and southern excellence.",Argument from Values
" The Lega-5Stelle government will appoint a European commissioner who deals with economics, not philosophy, as the PD governments have done.",Argument from Values
"I think it's legitimate to post a plate of spaghetti on Instagram, or tiramisu at midnight. Even if I'm a Minister. I've always done it and I'll do it after.",Argument from Values
"#Salvini: it has been an exceptional, unexpected year. With a new alliance, politically incorrect, that the strong powers do not like. I thank God and the Italians for the opportunity, we are only at the beginning (politically incorrect does not mean that it is against the ""strong powers"")",Argument from Values
"communicating with social media is a DUTY before being a pleasure. I have to tell citizens how I do my job and what I do, since they pay me my salary. I like to share what I do, I did it before being a minister, I will do it after.",Argument from Values
" In the face of haters and jokers, many Romans and many Italians tell me see you on Saturday. Will you be there???",Argument from Values
"Thinking of the nativity scene as a divisive symbol, this is the real scandal.nI share this beautiful article. (addressing a conversation on how the crib represents immigrants)",Argument from Values
"We need to make agreements with countries where they haven't been made yet, I don't know what they've done in the previous 6 years, in 6 months I've already made agreements with more than one country. (The agreements were done by the previous governments)",Argument from Values
"I listen to everyone, I meet everyone, we are doing something serious, Italy is 90% small businesses. Only what has been read and known about the maneuver should be contested.",Argument from Values
"#Salvini: #reformofjustice, both civil and criminal, another important goal for next year. #nonstopnews",Argument from Values
the cost of labor is the next BEAST that we will try to cut down. 2 out of 3 entrepreneurs ask me to reduce too much bureaucracy,Argument from Values
 I hope that any educator does not decide to leave baby Jesus outside the door. It does not bother anyone.,Argument from Values
"we paid attention to those forgotten by recent governments. VAT numbers up to 65 thousand euros, from next year, will pay 15% taxes without having to fill out 18 forms. (he is referring to sole ownership - many other people earn much less and are taxed more)",Argument from Values
He can't give answers to the Neapolitans and he worries about the illegal immigrants. Meh... (about the major of Naples),Argument from Values
"""The crucifix and the nativity scene are symbols of our values, culture and traditions, an expression of our identity. I don't see what a nuisance they are at school. Anyone who thinks that inclusion is achieved by hiding them is wrong."" Words of COMMON SENSE! (quoting a minister)",Argument from Values
A river of people in solidarity with the Tuscan tire dealer investigated for killing a thief. It's nice to see the Community rallying arounda good person.,Argument from Values
"Global Compact? I am against it, it brings together real refugees and economic or climate immigrants. The Government will not go to Marrakesh anyway.",Argument from Values
"The League is firmly AGAINST the #GlobalCompact: immigration to my country is managed by the Italian government, not someone on the other side of the world.",Argument from Values
" I don't want to destroy Europe, but I want to change it from within, I'm not a bomber.",Argument from Values
?? A teacher arrested in Pero (Milan) for slapping and kicking children between 2 and 5 YEARS... But how can you do it??? I get furious. For those who commit these hateful and disgusting crimes: PRISON and throw away the key.,Argument from Values
"In Italy there are rules and they must be respected. If you run away from war you are my brother, but if you do not run away from any war and you bring war into our home, I will take you back where you came from. (Refugees come also for other reasons; committing crimes is not bringing war)",Argument from Values
"After the #SalviniDecree, the new law on Legitimate Defense will arrive in Parliament. I stand with those who defend themselves and their families. My solidarity with the Tuscan merchant, robbed 38 times in a few months: YOU CAN COUNT ON US.",Argument from Values
" Are the #NGO ships going back to sea? Let them go wherever they want, they won't arrive in Italy. Have a good trip!",Argument from Values
"Welcome for those who are truly fleeing from war, but for criminals, drug dealers and murderers who bring war into our homes there is only one solution: EXPULSION. The gravy train is over!",Argument from Values
"The anti-social centers deface and vandalize, the militants of the Cagliari League clean up and move forward, with a smile and even more strength. You don't scare us, but only a lot of pity. Full speed ahead!",Argument from Values
Some people don't deserve to be called that. Shame! (about a dog burned alive),Argument from Values
"Words must be accompanied by concrete facts, and it is with this spirit that I hope for a reasonable solution for the #MoliniFagioli of Magione, Perugia, which employs more than twenty families and produces 230 tons of flour products per day. Defend Made in Italy, always. (The factory was making too much noise for the neighbors and the court agreed with the claimants; the factory can insulate the plant)",Argument from Values
" We stand by companies and those who work there. This is why we want to change the absurd European rules, reduce taxes and bureaucracy, slow down delocalization and incentivize investments in Italy.",Argument from Values
"CRAZY! The former minister of the Democratic Party candidly confesses: ""When we were in government we negotiated flexibility because we were doing an operation on immigrants"". Understand? They let us invade for years! Course reversed, GRACE IS OVER!",Argument from Values
UPDATE FROM LIBYA During the night the Libyan coast guard recovered a dinghy with about 100 immigrants on board. Goodbye to the traffickers and NGOs! (NGOs are not bringing migrants in; they are not comparable to smugglers),Argument from Values
"If Italians are hungry for work, school, hospitals and security we have the DUTY to give answers without having to receive letters or sanctions from Brussels. Italy deserves RESPECT. (the EU is not disrespecting Italy)",Argument from Values
" in the maneuver there is an idea of Italy that grows. It is money of the Italians and we will ask to be able to spend it, for the right to health, to protection, to scientific research.(these are money that are borrowed)",Argument from Values
#Salvini: do I spend too much on law enforcement according to Europe? But I have to guarantee safety and legality to Italians. #UnoMattina (Italy has the highest number of policemen in EU),Argument from Values
they tell me from Europe that I cannot dismantle the Fornero? I respect it but the right to work and to a pension for Italians comes first. (the Fornero law does not abolish the pension or the right to work),Argument from Values
"#Quadraro building abuses had been there for decades. What did you expect in these years??? #Lamafiamifaschifo and in the #Salvinidecree the fight against organized crime is a priority. (the major of Rome, not Salvini, decided to expel and demolish the mafia boss houses)",Argument from Values
" with the #5stelle we have different sensibilities, but we have always found an agreement on everything. For the Italians. #StaseraItalia",Argument from Values
"ask #Europe to respect the Italian People, since we pay every year at least 5 billion more than what we get back. Right to work, right to health and education, less taxes and more security: we are moving forward! I love you Friends. (the EU blocked the financial plan because ungrounded, not because they want to offend Italy)",Argument from Values
"Thanks to the lady who gave me a rosary this morning. As the last of sinners, I kiss it and take it with me.",Argument from Values
"Crazy stuff! I hope it's not true... How many episodes will we have between now and Christmas? I'll relaunch: #vivailNatale, hands off our thousand-year-old history.",Argument from Values
"I don't like European bureaucrats, but Mario Draghi as president of the ECB has committed himself to Italy, Italians and their savings. There are worse bureaucrats: #Draghi has done his part.",Argument from Values
" the mayors and the Region should choose on the #incinerators, but everyone says NO. So we will do them. (the majors decide, not him)",Argument from Values
"20 year old Somali, arrived in Italy by boat, walks around NAKED and then attacks a 68 year old woman, injuring her and using sexual violence. This is the thanks for having obtained protection from Italy! WORMS!",Argument from Values
"Welcoming children who are truly fleeing war, as I did this morning in Rome, is a pleasure for me. Expelling too many illegal immigrants who bring war to Italy is a duty for me.",Argument from Values
"I am proud of the #SalviniDecree, because it deals with NORMAL things, with everyday life: it talks about those who pickpocket, those who harass, those who steal, and those who are a pain in the ass at the hospital or on the bus. #zerotolerance towards criminals!",Argument from Values
"dream of an Italy where those who want to do harm become afraid again. I am happy with what has been done in 5 months: blocking of landings, Security and Immigration Decree, sending new agents to cities and regions throughout the country. We are still doing and will do a lot.",Argument from Values
"I agree, and I raise the stakes: do-goodism has ruined Italy, because it has made RESPECT disappear. But on immigration, security, certainty of punishment, legitimate defense we have reversed course, and we are only at the beginning! I will not give up.",Argument from Values
 Certain punishment and then expulsion. Some WORMS must understand that the gravy train is over!,Argument from Values
" The NGO ship ""Mare Jonio"" has set off again to search the Mediterranean, with on board social centers, representatives of Seawatch, Open Arms and a writer who publishes on L'Espresso and Repubblica ?? Have a good trip, kisses, hugs and #closedports",Argument from Values
"Happy for the long and cordial meeting today in Doha with the Emir of Qatar, always with one thought in mind and one feeling in my heart: to do good for my country.",Argument from Values
"We will bring Civic Education back to schools, but what do certain ""parents"" teach their children??? A few NOs and a few slaps every now and then would do good. (beating ups are not causes of better education)",Argument from Values
"in Rome the plan to clear out illegals continues without interruption, including those ""a-social centers"" that prefer drug dealers to policemen! (nobody prefers drug dealers to policemen)",Argument from Values
#Salvini: those from abroad who want to buy parts of Italian companies and economy at a discount will find our STOP! #nonelarena (referring to the block of the financial measures by the EU; avoiding to increase the debt does not mean that companies are sold),Argument from Values
"Thanks to Francesco Facchinetti (Dj Francesco) for the attention, in the face of those who call ""populism"" what is simple common sense. In these four months of good things we have done, but the best is yet to come, we move forward.",Argument from Values
"If the previous governments were silent, we are not. Italy demands RESPECT! Read what happened (Referring to a train blocked by the French police to let an immigrant go back to Italy; nobody was silent before)",Argument from Values
"The crimes committed by those who have abused the good faith of the country that welcomes them are doubly serious, I think so. (there is not good faith of a country; there is no ""abuse"" of good faith)",Argument from Values
"#Salvini on #CasaPound: Violence is never the solution. If someone has to control something, they must be able to do it without risk. (he does not want to evict fascist organization illegally occupying a building, when he evicted migrants for the same reason)",Argument from Values
Solidarity between Italy and Romania on our common interests: it cannot be only external countries that take charge of the immigration emergency in our continent.,Argument from Values
"The friendship between Italy and Romania can only improve: as border countries we cannot take charge of the protection of the European borders alone. On behalf of the government, I assured that we will support the Romanian people in the ""complicated"" relationship, which we also have, with the EU. (the relationship with the EU is not a persecution; it is a matter of financial data and mismanagement)",Argument from Values
"#Salvini: there is a contract that we must respect, the problems are solved then we work flat out for the Italians. #WLItalia (the contract is not a contract; it is a series of electoral promises. The contract is with the EU)",Argument from Values
"We are not interested in the justifications, which are ridiculous, nor in the internal investigations launched by the French. Paris must communicate to us IMMEDIATELY the identities of the immigrants left in the woods. Names, surnames, nationalities, dates of birth.",Argument from Values
am waiting for developments: I do not want to believe that #Macron's France uses its police to secretly dump immigrants in Italy. I invite my colleague Moavero to ask the ambassador for clarifications. (some cases only referred by one witness; it is not a normal practice),Argument from Values
" The Mayor of Lodi wants to check that everyone who has to pay for their children's school lunches? HE IS RIGHT!!! Enough, the gravy train is over. It's not racism, it's just JUSTICE and common sense.(The major excluded the kids, which caused reactions; the punishment was against the kids and not the parents; ""justice"" is inappropriate)",Argument from Values
"the mayor is under house arrest and invites journalists home as if nothing had happened, the left wing movement Magistratura Democratica accuses those who have questioned the reception system, the left is attacking the investigation but the checks by the Ministry of the Interior started with the PD government. (if the judge does not forbid it, he is allowed to have contacts with the media; the inspections were ordered by judges, not by the government)",Argument from Values
"Honor to this train conductor who, in Sardinia, lets a group of freeloaders get off! The climate has changed, #zerotolerance with the crafty ones, even with a massive use of the police force. If you want to travel, PAY like all good Italian citizens! (Also before train controllers expelled people without the ticket)",Argument from Values
"I plan to return to Bolzano as Minister, giving back all the neighborhoods of the city to the decent people. It is not possible to be afraid to go out at night. Integrated and decent immigrants are my brothers, the fake refugees who commit crimes should be sent home.",Argument from Values
"Whoever makes a mistake, pays. Irregularities in the use of public funds cannot be tolerated, not even if there is the excuse of spending them on immigrants. (It's not an excuse)",Argument from Values
Protecting Made in Italy and our farmers is a DUTY and I give you my word that we will not sign any trade agreement that damages Italian agriculture. We have the best agri-food products in the world. To you (and Juncker),Argument from Values
"These democratic students, pampered by social centers and some professors, would need many hours of civic education. Maybe they would understand that BURNING Salvinis mannequin, and anyone elses, in the square, or hanging their images on lampposts is a disgusting thing. (it is a peaceful protest)",Argument from Values
#Salvini: we need to make those who invest in their country pay less taxes. It's in the government contract. #agorarai (talking about flat tax; who earns more is more advantaged; it does not mean that he is investing),Argument from Values
"#Salvini: if someone aims to SPECULATE against Italy, HE IS WRONG. (talking about the increased Spread; it is not speculation of someone who is threatening Italy, it is financial market behavior)",Argument from Values
"The time of Brussels bureaucrats is over. Values, pride, freedom of peoples and nations: in May the revolution of common sense will arrive throughout Europe. We are ready.",Argument from Values
New forms of integration...... (About a paper on immigrants standing naked on their terrace),Argument from Values
"#Salvini: I'm not going to #Fazio. Consistency first, I prefer it to some guest appearances. #nonstopnews (There is no incoherence; Salvini takes part in many talk shows)",Argument from Values
"The NGO ship of the ""social centers"". Have a good trip guys! In Italy obviously no landings (the NGO ship is not of the anarchists)",Argument from Values
"A ship of social centre slums going to catch three cod (experts, authorities boarded that ship; they are going to save people)",Argument from Values
"mistakes? I have made many and will make them. I will make mistakes, I apologize in advance, if it happens it will be in good faith, I will have made them, not because of other people's choices. (he can make mistakes not in good faith; he can avoid mistakes by following others' advice; nobody decides for him)",Argument from Values
"My father and my family taught me sacrifice, honesty, common sense. A normal family. Italy needs normality. They never forced me or suggested choices. But I wouldn't want my children to go into politics (""normal"" and ""common sense"" mean what he is doing or is)",Argument from Values
"if the new ""ship of social centers"" thinks of bringing a single immigrant to Italy... let them know that not one will disembark here (the ship is not of anarchists)",Argument from Values
"Whatever I do as a minister respects the Constitution. The duty of hospitality is limited to good people and to those who bring something, not to those who come to take something AWAY.",Argument from Values
"The law on #LegitimaDifesa is ready, it starts in the Senate on October 23rd! Go ahead, the right to defense for good citizens is sacrosanct! (There is already a right to self-defense)",Argument from Values
" Solidarity with the doctor from Trento who reported an illegal Moroccan immigrant to the police. We have a duty to ensure medical care for everyone, but we cannot forget the need to combat illegal immigration.(the doctor is violating the law; it is illegal to request documents from the ones who access the emergencies)",Argument from Values
"Cancel the decree or we cancel Salvini!"". And according to the left, I am the one spreading hate... ?? When you are a guest (hopefully legal) of a foreign country, you should enter on tiptoe and respect culture, laws and institutions. Or not? (it is a peaceful protest by migrants; they are respecting everything)",Argument from Values
"#Flattax is for those forgotten by previous governments. The wealth of Italians is the little ones, and for a million and a half of them it will be a boost of confidence and energy (the law provides for increasing to annual revenues of 65,000 euros the special tax rate of 15%. It is not for the little, already protected by the existing laws)",Argument from Values
"I am not a judge, I am not a lawyer, and I am waiting to understand if someone has misused the money and betrayed the trust of the Calabrese. (he accused him before; betraying trust is not a crime)",Argument from Values
"I think that in the EU there is someone who aims to bring Italy to its knees to buy companies, banks, food companies, fashion at a loss. Someone wants Italy weak and full of immigrants, but with this government it doesn't work.",Argument from Values
" With the #Fornero Law, one went directly from work to the grave, without passing through retirement. Restoring the right to life for many pensioners is our duty, and this will also create new jobs.",Argument from Values
It is never nice for a mayor to be arrested. To think that Salvini is influencing the work of the Prosecutor's Office is madness. (true claim. The minister for internal affairs can start administrative investigations; Salvini was not responsible for these investigations),Argument from Values
"There were those who thought of the big ones, we think of the small ones. From words to deeds! (talking about the flat tax for private entrepreneurs: actually it includes also higher incomes and does not consider the employees)",Argument from Values
"Does the Constitution perhaps prevent us from changing the Fornero law, reducing taxes on self-employed workers and businesses, increasing disability pensions, hiring thousands of police officers, carabinieri and firefighters and helping young people find a job? I think so. (About the new economic measures blocked by the EU; the problem is not the constitution, but the treaties signed with the EU; the measures do not result directly in new jobs)",Argument from Values
 Finally there is a government that thinks FIRST OF ITALIANS and I am proud of it.n#dalleparoleaifatti,Argument from Values
 this #Salvinidecree could have been written by a Franciscan. A Franciscan who obviously wants to be safe in his own convent :),Argument from Values
"I think it's normal that if I catch you committing a crime, I tear up your asylum application and you go back home. (there is the Geneve convention; the condemnation needs to be final; the Judges need to establish whether the crime is ""serious"" https://www.agi.it/fact-checking/decreto_sicurezza_rimpatri_migranti_salvini-4593242/news/2018-11-09/ )",Argument from Values
"Italians are rewarding us for normality, we do NORMAL things that fathers and mothers of families would do. And if they let us work, without being geniuses, we will bring Italy back to the place it deserves",Argument from Values
"on the Fornero Law we will spend everything necessary, because it is right and it is a wrong law. Brussels should make peace with it.",Argument from Values
"in three months we have taken away the pensions of former parliamentarians, those who appeal should be ashamed. In three months we have stopped the landings at 20 thousand (but then it could have been done!!!). In both cases: WHERE THE WILL IS, THERE IS A WAY. (the number of deaths increased sharply)",Argument from Values
"Proud to support the nautical sector in Italy, which employs almost 200,000 people and, after Monti's taxes, has started growing again. Happy with the welcome that hundreds of people have reserved for me today, with applause and encouragement: long live #Genoa , long live the sea! (The taxes did not cause the sector to plunge)",Argument from Values
"Italians voted for me so that our boys and girls can build a family and a future, we do not need new slaves exploited by human traffickers and illegal immigration mafias.",Argument from Values
"I signed the expulsion of four Islamic extremists, three Egyptians and a Tunisian. In prison for various crimes, they praised ISIS attacks and hoped for one in Italy. Nice people. AWAY from our country those who want to bring war to our home ! (it is the ordinary legal process - and administrative effects that followed a court decision. Like everyone who acted before him)",Argument from Values
"The cut to reduce the debt has not worked in the past, for us it is a priority to make Italians work and pay less taxes",Argument from Values
"""Ready to go to WAR against Salvini"". I am not waging any war. I only apply common sense: immigration with rules, controls and integration is a positive factor, the invasion of hundreds of thousands of presumed refugees, permitted by those who have preceded, NO. (About migrants peacefully protesting and saying that migrants are a resource for Italy)",Argument from Values
"While in Italy we are working to put MOM and DAD back on the documents, elsewhere they are erasing males and females from the birth certificate... I am speechless!",Argument from Values
#Salvini: We have a historic duty to change Italy and to try to change Europe a little. #doortodoor,Argument from Values
"The cops have already entered the place and confiscated the phones of all the comrades inside"". Another ""a-social center"" (""Canaglia occupied""...) cleared in Lecce. Legality and order!",Argument from Values
Some immigrants who were on the #Diciotti were tracked down in Rome: REFUSE help and DEMAND to travel without documents and without being held accountable for anything. Ps I recommend reading the comments on this post:,Argument from Values
"As a government man, my duty is to think first of the 5 million Italians who live in absolute poverty, rather than ""propaganda""... (Galantino is talking about missionaries who help people in their own countries, without interests)",Argument from Values
"#Salvini: Private property is a right, most squatters are crafty. #radioanchio",Argument from Values
"You are racist! and they send a policeman to the hospital. Convicted, the alleged refugees are already FREE but, incredibly, they cannot be expelled. It seems crazy to me. With the #SecurityDecree we will change wrong rules and procedures. (Their hearing has been postponed; they have not been freed)",Argument from Values
"#privateproperty is a RIGHT. Anyone who squats illegally must be kicked OUT without having to wait for two years of unpaid rent, on which taxes are still paid. (there is the right to protect families with children)",Argument from Values
"The Democratic Party calls the #EvictionDirective crazy? Crazy stuff! Private property is SACRED. If you rent your apartment to the wrong person who doesnt pay you, and maybe you need it again for your children, you cant take two years to get back into your home! (Orfini claimed that it is a crazy thing to have this law without a B plan for evicted families)",Argument from Values
"Two Nigerian drug dealers arrested, in Italy for ""humanitarian reasons"" (!), who massacred a fellow countryman with machetes, leaving him at the point of death. Italy does not need this type of ""integration""",Argument from Values
"Anyone who exploits illegal immigration to fill their pockets must be PUNISHED in an exemplary manner, without ifs and buts. Congratulations to the Carabinieri and Guardia di Finanza for the operation. Even for managers and cooperatives in bad faith, the gravy train is over!",Argument from Values
"Our Europe will be based on the right to work, life, health and safety. Enough with the dictatorship of finance and immigration. (these are priorities of the EU as well)",Argument from Values
This is the model I want to achieve! Long live civilized and serious Australia. (Australia Arrested Migrants),Argument from Values
#Salvini: We will return to assert the NATIONAL INTEREST. #Zapping #RaiRadio1,Argument from Values
"#Salvini: With 5 million Italians in absolute poverty, of which 1.2 million are children, I think of ITALIANS first. #Zapping #RaiRadio1",Argument from Values
"In 30 seconds I will explain our investment project to REALLY help African countries. After years of cosmic nothingness branded Pd, with this government we want to move from words to actions to finally give work, growth and a future to the African continent.",Argument from Values
#Salvini: that Autostrade should rebuild seems to me the least. #nonstopnews @rtl1025 (it is a legal issue),Argument from Values
Another beautiful example of integration... (an attack in Spain),Argument from Values
"If in 2018 you don't accept that men and women have the same value, the same rights and the same duties, you don't deserve citizenship. Period. It seems to me just common sense (talking about Swiss law)",Argument from Values
"Exclusive images of a dinghy with 70 immigrants, a smuggler at the helm and a powerful engine, in Maltese waters. Will anyone deign to intervene or will they send them once again towards Italy??? (the boat is in bad condition)",Argument from Values
"We are doing everything we can to make #Autostrade OPEN ITS WALLET to help the relatives of the victims, the people involved, the displaced and the city. #Genoa cannot wait, the injured cannot wait. (the court needs to decide on the case)",Argument from Values
"#Salvini: Italy deserves fast and certain ANSWERS! I want a country that moves forward, not that goes back. #Inonda (the EU cannot reply quickly; the answers are not the cause of Italy being poorly attractive for investments)",Argument from Values
"There are some regions that have used and spent all the European funds, other regions that have not. There is, therefore, someone who should be rewarded and someone who should be punished. European constraints and, in some cases, even certain Italian policies have their own faults. (EU rules are not the cause of failures to spend the funds)",Argument from Values
"it is clear that that highway concession needs to be renegotiated. The State must return to being a State. We are not satisfied with the service that is offered to us, we act accordingly.",Argument from Values
 #Salvini on #GenovaPonte: this cannot remain yet another UNPUNISHED MASSACRE. #Inonda,Argument from Values
"Strange that in the Autostrade balance sheet profits have increased and investments in safety, instead, have decreased. Whoever made a mistake, MUST PAY. Someone was paid to check the safety of that stretch of road. (the court needs to establish that)",Argument from Values
"If there are European constraints that prevent us from spending money to secure the schools where our children go or the highways on which our workers travel, we will put the safety of Italians before everything and everyone. (the EU rules are not the cause of failure to control and renovate the buildings)",Argument from Values
"The more I think about the deaths in Genoa, the angrier I get. Those responsible for this disaster, with names and surnames, will have to pay, pay everything, pay dearly. (there is a legal investigation; it is not the duty of the minister to give punishments)",Argument from Values
"Our entrepreneurs, artisans and farmers must be DEFENDED tooth and nail. I leave Cambodian rice and South American meat to others, I want to eat and drink ITALIAN (Italian products do not need defense - they are quality products, with non-competitive prices)",Argument from Values
"We are tired of living in this shitty structure. On Lake Garda, 35 young aspiring refugees are throwing tantrums because they don't like the hotel they are staying in. No problem, if you don't like Italy, that's the door! (they are not nagging)",Argument from Values
"Someone who beats and bites police officers cannot claim any form of asylum or protection! It seems like common sense to me! With the #SecurityDecree we will change laws and procedures, criminals must be able to be EXPELLED, without ifs or buts. (there are already the laws; he needs to be condemned)",Argument from Values
"I want to give new impetus to popular sovereignty. ""Italians first"" means nothing more than this.",Argument from Values
"The Carabinieri have stopped seven IMMIGRANTS seeking asylum, Gambians and Senegalese, in Gallipoli (Lecce) for dealing in DRUG, also sold to minors. I am working to stop this filth, send these criminals home and prevent others from coming. I will not stop! (The crimes diminished with immigration)",Argument from Values
This afternoon in Turin a group of immigrants attempted to damage the structure that is hosting them. With the #DecretoSicurezza in Italy there will be no more room for these hooligans. Thanks to the @poliziadistato The gravy train is over! (It was a protest - they were expelled from the houses),Argument from Values
" Live from Cervia - Milano Marittima with a sea of good people, follow us LIVE! #primagliitaliani Nlive",Argument from Values
"want a television for everyone, where there is room for everyone. I will not back down on #MarcelloFoa. The only one who has to explain something to Italians is Berlusconi, also because Foa comes from a cultural area close to him.",Argument from Values
"say that an asylum seeker who deals drugs and beats up a police officer deserves to be expelled. Am I wrong??? With the new #SecurityDecree we want to change laws that, incredibly, protect (alleged) refugees even when they commit crimes. #commonsenserevolution (the person has the same rights as ordinary citizens - indeed less)",Argument from Values
